ITEMID,Item Name,Verified,Category,Equip Type,Use Type,Etc Type,Item Icon,Description,Job,Upgrade Slots,Req Level,Req Str,Req Dex,Req Int,Req Luk,Req Fame,Weapon Category,Attack Speed,Attack Power,Magic Attack,Weapon Def,Magic Def,HP,MP,STR,DEX,INT,LUK,Crit Rate,Crit Damage,Speed,Jump,Accuracy,Avoidability,Knockback
item_dark_hunters_pants,Dark Hunter's Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060057/icon,,Bowman,7,30,0,100,0,0,0,,,,,21,,,,,1,,,,,,,,,
item_green_hunters_pants,Green Hunter's Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/GMS/263/item/1060056/icon?resize=4,,Bowman,7,30,0,100,0,0,0,,,,,21,,,,,,,,,,,,,,
item_green_huntress_pants,Green Huntress Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061050/icon,,Bowman,7,30,0,100,0,0,0,,,,,21,,,,,1,,,,,,,,,
item_red_hunters_pants,Red Hunter's Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/GMS/263/item/1060058/icon?resize=4,,Bowman,7,30,0,100,0,0,0,,,,,21,,,,,,,,,,,,,,
item_red_huntress_pants,Red Huntress Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/GMS/263/item/1061052/icon?resize=4,,Bowman,7,30,0,100,0,0,0,,,,,21,,10,,,,,,,,,,,,
item_blue_legolia_pants,Blue Legolia Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061061/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,1,,,,,,,,,,
item_blue_legolier_pants,Blue Legolier Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060062/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,1,,,,,,,,,,
item_brown_legolia_pants,Brown Legolia Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061064/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,1,,,,,,,,,,
item_brown_legolier_pants,Brown Legolier Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060065/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,1,,,,,,,,,,
item_dark_legolia_pants,Dark Legolia Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061063/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,,1,,,,,,,,,
item_dark_legolier_pants,Dark Legolier Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060064/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,,1,,,,,,,,,
item_green_legolia_pants,Green Legolia Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061062/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,,1,,,,,,,,,
item_green_legolier_pants,Green Legolier Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060063/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,,1,,,,,,,,,
item_red_legolia_pants,Red Legolia Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061060/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,,1,,,,,,,,,
item_red_legolier_pants,Red Legolier Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060061/icon,,Bowman,7,35,0,115,0,0,0,,,,,24,,,5,,1,,,,,,,,,
item_blue_piette_pants,Blue Piette Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060070/icon,,Bowman,7,40,0,130,0,0,0,,,,,27,,,10,1,,,,,,,,,,
item_brown_piette_pants,Brown Piette Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060069/icon,,Bowman,7,40,0,130,0,0,0,,,,,27,,,10,,1,,,,,,,,,
item_brown_piettra_skirt,Brown Piettra Skirt,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061081/icon,,Bowman,7,40,0,130,0,0,0,,,,,27,,,10,1,,,,,,,,,,
item_dark_piette_pants,Dark Piette Pants,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1060068/icon,,Bowman,7,40,0,130,0,0,0,,,,,27,,,10,,1,,,,,,,,,
item_dark_piettra_skirt,Dark Piettra Skirt,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061082/icon,,Bowman,7,40,0,130,0,0,0,,,,,27,,,10,,1,,,,,,,,,
item_white_piettra_skirt,White Piettra Skirt,FALSE,EQUIPMENT,Bottom,,,https://maplestory.io/api/gms/83/item/1061080/icon,,Bowman,7,40,0,130,0,0,0,,,,,27,,,10,,1,,,,,,,,,
item_basic_archer_gloves,Basic Archer Gloves,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082012/icon,,Bowman,5,15,0,40,0,0,0,,,,,4,,,,,,,,,,,,,,
item_blue_diros,Blue Diros,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/GMS/263/item/1082013/icon?resize=4,,Bowman,5,20,0,60,0,0,0,,,,,6,,,,,,,,,,,,,,
item_green_diros,Green Diros,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/GMS/263/item/1082015/icon?resize=4,,Bowman,5,20,0,60,0,0,0,,,,,8,,,,,2,,,,,,,,,
item_red_diros,Red Diros,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/GMS/263/item/1082014/icon?resize=4,,Bowman,5,20,0,60,0,0,0,,,,,7,,,,,1,,,,,,,,,
item_blue_savata,Blue Savata,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082016/icon,,Bowman,5,25,0,75,0,0,0,,,,,8,,,,,,,,,,,,,,
item_dark_savata,Dark Savata,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082018/icon,,Bowman,5,25,0,75,0,0,0,,,,,10,,,,,2,,,,,,,,,
item_red_savata,Red Savata,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/GMS/263/item/1082017/icon?resize=4,,Bowman,5,25,0,75,0,0,0,,,,,9,,,,,1,,,,,,,,,
item_black_marker,Black Marker,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082050/icon,,Bowman,5,30,0,95,0,0,0,,,,,12,,,,,2,,,,,,,,,
item_brown_marker,Brown Marker,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082048/icon,,Bowman,5,30,0,95,0,0,0,,,,,10,,,,,,,,,,,,,,
item_green_marker,Green Marker,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082049/icon,,Bowman,5,30,0,95,0,0,0,,,,,11,,,,,1,,,,,,,,,
item_bronze_scaler,Bronze Scaler,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082068/icon,,Bowman,5,35,0,115,0,0,0,,,,,12,,,,,,,,,,,,,,
item_gold_scaler,Gold Scaler,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082070/icon,,Bowman,5,35,0,115,0,0,0,,,,,14,,,,,2,,,,,,,,,
item_mithril_scaler,Mithril Scaler,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082069/icon,,Bowman,5,35,0,115,0,0,0,,,,,13,,,,,1,,,,,,,,,
item_aqua_brace,Aqua Brace,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082071/icon,,Bowman,5,40,0,130,0,0,0,,,,,14,,,,,1,,,,,,,,,
item_dark_brace,Dark Brace,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082073/icon,,Bowman,5,40,0,130,0,0,0,,,,,16,,,,,3,,,,,,,,,
item_gold_brace,Gold Brace,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082072/icon,,Bowman,5,40,0,130,0,0,0,,,,,15,,,,,2,,,,,,,,,
item_blue_willow,Blue Willow,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082084/icon,,Bowman,5,50,0,165,0,0,0,,,,,18,,,,,1,,,,,,,,,
item_dark_willow,Dark Willow,TRUE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082083/icon,,Bowman,5,50,40,90,0,0,0,,,,,20,,,,,,,,1,,,,5,,
item_red_willow,Red Willow,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082085/icon,,Bowman,5,50,0,165,0,0,0,,,,,19,,,10,,2,,,,,,,,,
item_dark_garner,Dark Garner,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082091/icon,,Bowman,5,60,0,190,0,0,0,,,,,24,,,30,1,3,,,,,,,,,
item_oaker_garner,Oaker Garner,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082089/icon,,Bowman,5,60,0,190,0,0,0,,,,,22,,,,1,1,,,,,,,,,
item_sephia_garner,Sephia Garner,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082090/icon,,Bowman,5,60,0,190,0,0,0,,,,,23,,,15,1,2,,,,,,,,,
item_blue_eyes,Blue Eyes,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082106/icon,,Bowman,5,70,0,215,0,0,0,,,,,26,,,,,2,,,,,,,,,
item_dark_eyes,Dark Eyes,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082108/icon,,Bowman,5,70,0,215,0,0,0,,,,,28,,,,,4,,,,,,,,1,
item_gold_eyes,Gold Eyes,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082107/icon,,Bowman,5,70,0,215,0,0,0,,,,,27,,,,,3,,,,,,,,1,
item_blue_cordon,Blue Cordon,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082110/icon,,Bowman,5,80,0,240,0,0,0,,,,,31,,,15,2,3,,,,,,,,,
item_dark_cordon,Dark Cordon,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082112/icon,,Bowman,5,80,0,240,0,0,0,,,,,32,,,30,2,4,,,,,,,,,
item_green_cordon,Green Cordon,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082111/icon,,Bowman,5,80,0,240,0,0,0,,,,,32,,,15,2,3,,,,,,,,,
item_red_cordon,Red Cordon,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082109/icon,,Bowman,5,80,0,240,0,0,0,,,,,30,,,10,1,2,,,,,,,,,
item_dark_focus,Dark Focus,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082127/icon,,Bowman,5,90,0,265,0,0,0,,,,,36,,,,2,5,,,,,,,,,
item_green_focus,Green Focus,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082126/icon,,Bowman,5,90,0,265,0,0,0,,,,,35,,,,2,4,,,,,,,,,
item_red_focus,Red Focus,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082125/icon,,Bowman,5,90,0,265,0,0,0,,,,,34,,,,1,3,,,,,,,,,
item_blue_arcina,Blue Arcina,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082159/icon,,Bowman,5,100,0,290,0,0,0,,,,,39,,,20,2,5,,,,,,,,,
item_green_arcina,Green Arcina,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082160/icon,,Bowman,5,100,0,290,0,0,0,,,,,40,,,30,2,6,,,,,,,,,
item_red_arcina,Red Arcina,FALSE,EQUIPMENT,Gloves,,,https://maplestory.io/api/gms/83/item/1082158/icon,,Bowman,5,100,0,290,0,0,0,,,,,38,,,10,2,4,,,,,,,,,
item_brown_winter_hat,Brown Winter Hat,TRUE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002010/icon,,Bowman,7,10,0,10,0,0,0,,,,,9,,,,,,,,,,,,1,,
item_green_winter_hat,Green Winter Hat,TRUE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002057/icon?resize=4,,Bowman,7,10,0,10,0,0,0,,,,,9,,,,,1,,,,,,,,,
item_black_feather_hat,Black Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002115/icon?resize=4,,Bowman,7,15,0,45,0,0,0,,,,,12,,,,,,,,,,,,,,
item_blue_feather_hat,Blue Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002113/icon,,Bowman,7,15,0,45,0,0,0,,,,,12,,,,,,,,,,,,,,
item_brown_feather_hat,Brown Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002116/icon?resize=4,,Bowman,7,15,0,45,0,0,0,,,,,12,,,,,,,,,,,,,,
item_green_feather_hat,Green Feather Hat,TRUE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002114/icon?resize=4,,Bowman,7,15,0,20,0,0,0,,,,,12,,,,,1,,,,,,,,,
item_red_feather_hat,Red Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002112/icon?resize=4,,Bowman,7,15,0,45,0,0,0,,,,,12,,,,,,,,,,,,,,
item_blue_robin_hat,Blue Robin Hat,TRUE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002118/icon,,Bowman,7,20,10,30,0,0,0,,,,,15,,,20,,,,,,,,,,,
item_green_robin_hat,Green Robin Hat,TRUE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002119/icon,,Bowman,7,20,10,30,0,0,0,,,,,15,,,,,2,,,,,,,,,
item_red_robin_hat,Red Robin Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002117/icon?resize=4,,Bowman,7,20,0,60,0,0,0,,,,,15,,,,,,,,,,,,,,
item_black_hunter,Black Hunter,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002159/icon,,Bowman,7,25,25,90,0,0,0,,,,,18,,,5,,,,,,,,,,,
item_blue_hunter,Blue Hunter,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002157/icon?resize=4,,Bowman,7,25,25,90,0,0,0,,,,,18,,,,,,,,,,,,,,
item_brown_hunter,Brown Hunter,TRUE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002160/icon?resize=4,,Bowman,7,25,15,40,0,0,0,,,,,18,,,,,,,,,,,,1,,
item_green_hunter,Green Hunter,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002158/icon,,Bowman,7,25,25,90,0,0,0,,,,,18,,5,,,,,,,,,,,,
item_red_hunter,Red Hunter,TRUE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002156/icon?resize=4,,Bowman,7,25,15,40,0,0,0,,,,,18,,25,,,,,,,,,,,,
item_blue_hawkeye,Blue Hawkeye,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002162/icon?resize=4,,Bowman,7,30,30,95,0,0,0,,,,,21,,,,,,,,,,,,,,
item_brown_hawkeye,Brown Hawkeye,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002164/icon?resize=4,,Bowman,7,30,30,95,0,0,0,,,,,21,,,,,,,,,,,,,,
item_dark_hawkeye,Dark Hawkeye,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002165/icon,,Bowman,7,30,30,95,0,0,0,,,,,21,,,,,1,,,,,,,,,
item_green_hawkeye,Green Hawkeye,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002163/icon,,Bowman,7,30,30,95,0,0,0,,,,,21,,,,,1,,,,,,,,,
item_red_hawkeye,Red Hawkeye,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/GMS/263/item/1002161/icon?resize=4,,Bowman,7,30,30,95,0,0,0,,,,,21,,,,,,,,,,,,,,
item_blue_polefeather_hat,Blue Pole-Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002138/icon,,Bowman,7,35,35,120,0,0,0,,,,,24,,,10,,,,,,,,,,,
item_brown_polefeather_hat,Brown Pole-Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002135/icon,,Bowman,7,35,35,120,0,0,0,,,,,24,,,,1,,,,,,,,,,
item_dark_polefeather_hat,Dark Pole-Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002136/icon,,Bowman,7,35,35,120,0,0,0,,,,,24,,,,,1,,,,,,,,,
item_green_polefeather_hat,Green Pole-Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002137/icon,,Bowman,7,35,35,120,0,0,0,,,,,24,,,,,1,,,,,,,,,
item_red_polefeather_hat,Red Pole-Feather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002139/icon,,Bowman,7,35,35,120,0,0,0,,,,,24,,10,,,,,,,,,,,,
item_blue_distinction,Blue Distinction,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002167/icon,,Bowman,7,40,40,130,0,0,0,,,,,27,,,20,,,,,,,,,,,
item_brown_distinction,Brown Distinction,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002169/icon,,Bowman,7,40,40,130,0,0,0,,,,,27,,,,2,,,,,,,,,,
item_dark_distinction,Dark Distinction,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002170/icon,,Bowman,7,40,40,130,0,0,0,,,,,27,,,,,2,,,,,,,,,
item_green_distinction,Green Distinction,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002168/icon,,Bowman,7,40,40,130,0,0,0,,,,,27,,,,,2,,,,,,,,,
item_red_distinction,Red Distinction,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002166/icon,,Bowman,7,40,40,130,0,0,0,,,,,27,,20,,,,,,,,,,,,
item_black_maro,Black Maro,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002214/icon,,Bowman,7,50,0,160,0,0,0,,,,,33,,,,,3,,,,,,,,,
item_blue_maro,Blue Maro,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002211/icon,,Bowman,7,50,0,160,0,0,0,,,,,33,,,,2,1,,,,,,,,,
item_green_maro,Green Maro,TRUE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002213/icon,,Bowman,7,50,40,90,0,0,0,,,,,33,,,,,5,,,,,,,,,
item_red_maro,Red Maro,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002212/icon,,Bowman,7,50,0,160,0,0,0,,,,,33,,,,1,2,,,,,,,,,
item_black_polyfeather_hat,Black Polyfeather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002270/icon,,Bowman,7,60,0,190,0,0,0,,,,,39,,,,,4,,,,,,,,,
item_brown_polyfeather_hat,Brown Polyfeather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002268/icon,,Bowman,7,60,0,190,0,0,0,,,,,39,,,,2,2,,,,,,,,,
item_white_polyfeather_hat,White Polyfeather Hat,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002269/icon,,Bowman,7,60,0,190,0,0,0,,,,,39,,,,1,3,,,,,,,,,
item_beige_patriot,Beige Patriot,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002287/icon,,Bowman,7,70,0,220,0,0,0,,,,,45,,,15,2,2,,,,,,,,,
item_blue_patriot,Blue Patriot,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002286/icon,,Bowman,7,70,0,220,0,0,0,,,,,45,,,15,3,1,,,,,,,,,
item_dark_patriot,Dark Patriot,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002289/icon,,Bowman,7,70,0,220,0,0,0,,,,,45,,,15,,4,,,,,,,,,
item_green_patriot,Green Patriot,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002288/icon,,Bowman,7,70,0,220,0,0,0,,,,,45,,,15,1,3,,,,,,,,,
item_blue_falcon,Blue Falcon,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002275/icon,,Bowman,7,80,0,250,0,0,0,,,,,51,,,,3,2,,,,,,,,,
item_dark_falcon,Dark Falcon,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002278/icon,,Bowman,7,80,0,250,0,0,0,,,,,51,,,,,5,,,,,,,,,
item_green_falcon,Green Falcon,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002277/icon,,Bowman,7,80,0,250,0,0,0,,,,,51,,,,1,4,,,,,,,,,
item_red_falcon,Red Falcon,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002276/icon,,Bowman,7,80,0,250,0,0,0,,,,,51,,,,2,3,,,,,,,,,
item_blue_arlic_helmet,Blue Arlic Helmet,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002403/icon,,Bowman,7,90,0,280,0,0,0,,,,,57,,,,2,3,,,,,,,,1,
item_dark_arlic_helmet,Dark Arlic Helmet,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002405/icon,,Bowman,7,90,0,280,0,0,0,,,,,57,,,,,5,,,,,,,,1,
item_green_arlic_helmet,Green Arlic Helmet,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002404/icon,,Bowman,7,90,0,280,0,0,0,,,,,57,,,,1,4,,,,,,,,1,
item_red_arlic_helmet,Red Arlic Helmet,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002402/icon,,Bowman,7,90,0,280,0,0,0,,,,,57,,,,3,2,,,,,,,,1,
item_blue_arnah_cap,Blue Arnah Cap,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002407/icon,,Bowman,7,100,0,310,0,0,0,,,,,63,,,20,1,5,,,,,,,,,
item_green_arnah_cap,Green Arnah Cap,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002408/icon,,Bowman,7,100,0,310,0,0,0,,,,,63,,,20,,6,,,,,,,,,
item_red_arnah_cap,Red Arnah Cap,FALSE,EQUIPMENT,Helmet,,,https://maplestory.io/api/gms/83/item/1002406/icon,,Bowman,7,100,0,310,0,0,0,,,,,63,,,20,2,4,,,,,,,,,
item_blue_lumati,Blue Lumati,FALSE,EQUIPMENT,Overall,,,https://maplestory.io/api/gms/83/item/1051037/icon,,Bowman,10,50,0,160,0,0,0,,,,,55,,,,4,,,,,,,,,1,
item_bluelined_kismet,Blue-Lined Kismet,TRUE,EQUIPMENT,Overall,,,https://maplestory.io/api/gms/83/item/1050052/icon,,Bowman,10,50,40,90,0,0,0,,,,,88,,,40,,6,,,,,,,,,
item_green_lumati,Green Lumati,FALSE,EQUIPMENT,Overall,,,https://maplestory.io/api/gms/83/item/1051038/icon,,Bowman,10,50,0,160,0,0,0,,,,,55,,,,,4,,,,,,,,1,
item_red_lumati,Red Lumati,FALSE,EQUIPMENT,Overall,,,https://maplestory.io/api/gms/83/item/1051039/icon,,Bowman,10,50,0,160,0,0,0,,,,,55,,,,,4,,,,,,,,1,
