FromMapID,ToMapID
map_henesys_park,map_bowman_instructional_school
map_bowman_instructional_school,map_henesys_park
map_the_hill_east_of_henesys,map_henesys
map_the_hill_east_of_henesys,map_the_rainforest_east_of_henesys
map_the_rainforest_east_of_henesys,map_the_hill_east_of_henesys
map_the_rainforest_east_of_henesys,map_the_forest_east_of_henesys
map_the_forest_east_of_henesys,map_the_rainforest_east_of_henesys
map_the_forest_east_of_henesys,map_the_blue_mushroom_forest
map_the_blue_mushroom_forest,map_the_forest_east_of_henesys
map_the_forest_east_of_henesys,map_the_forest_south_of_ellinia
map_the_forest_south_of_ellinia,map_the_forest_east_of_henesys
map_the_forest_south_of_ellinia,map_the_forest_of_wisdom
map_the_forest_of_wisdom,map_the_forest_south_of_ellinia
map_the_forest_of_wisdom,map_monkey_forest_i
map_monkey_forest_i,map_the_forest_of_wisdom
map_monkey_forest_i,map_monkey_forest_ii
map_monkey_forest_ii,map_monkey_forest_i
map_monkey_forest_ii,map_the_forest_of_evil_i
map_the_forest_of_evil_i,map_monkey_forest_ii
map_the_forest_of_evil_i,map_the_forest_of_evil_ii
map_the_forest_of_evil_ii,map_the_forest_of_evil_i
map_the_forest_of_wisdom,map_the_field_south_of_ellinia
map_the_field_south_of_ellinia,map_the_forest_of_wisdom
map_the_field_south_of_ellinia,map_ellinia
map_ellinia,map_the_field_south_of_ellinia
map_ellinia,map_ellinia_weapon_store
map_ellinia,map_ellinia_department_store
map_ellinia,map_magic_library
map_ellinia,map_the_field_up_north_of_ellinia
map_ellinia_weapon_store,map_ellinia
map_ellinia_department_store,map_ellinia
map_magic_library,map_ellinia
map_the_field_up_north_of_ellinia,map_the_tree_that_grew_i
map_the_field_up_north_of_ellinia,map_ellinia
map_the_tree_that_grew_i,map_the_forest_north_of_ellinia
map_the_tree_that_grew_i,map_the_tree_that_grew_ii
map_the_tree_that_grew_ii,map_the_tree_that_grew_i
map_the_tree_that_grew_ii,map_the_tree_that_grew_iii
map_the_tree_that_grew_iii,map_the_tree_that_grew_ii
map_the_tree_that_grew_i,map_the_field_up_north_of_ellinia
map_the_forest_north_of_ellinia,map_east_domain_of_perion
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_i
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_ii
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_iii
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_iv
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_v
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_vi
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_vii
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_viii
map_the_forest_north_of_ellinia,map_tree_dungeon_forest_up_north_ix
map_tree_dungeon_forest_up_north_i,map_the_forest_north_of_ellinia
map_tree_dungeon_forest_up_north_ii,map_the_forest_north_of_ellinia
map_tree_dungeon_forest_up_north_iii,map_the_forest_north_of_ellinia
map_tree_dungeon_forest_up_north_iv,map_the_forest_north_of_ellinia
map_tree_dungeon_forest_up_north_v,map_the_forest_north_of_ellinia
map_tree_dungeon_forest_up_north_vi,map_the_forest_north_of_ellinia
map_tree_dungeon_forest_up_north_vii,map_the_forest_north_of_ellinia
map_tree_dungeon_forest_up_north_viii,map_the_forest_north_of_ellinia
map_tree_dungeon_forest_up_north_ix,map_the_forest_north_of_ellinia
map_the_forest_north_of_ellinia,map_the_tree_that_grew_i
map_east_domain_of_perion,map_rocky_road_iii
map_east_domain_of_perion,map_the_forest_north_of_ellinia
map_rocky_road_iii,map_rocky_road_ii
map_rocky_road_iii,map_east_domain_of_perion
map_rocky_road_ii,map_rocky_road_i
map_rocky_road_ii,map_rocky_road_iii
map_rocky_road_i,map_east_rocky_mountain_i
map_rocky_road_i,map_rocky_road_ii
map_east_rocky_mountain_i,map_perion_street_corner
map_east_rocky_mountain_i,map_rocky_road_i
map_perion_street_corner,map_perion
map_perion_street_corner,map_rocky_road_i
map_perion,map_west_street_corner_of_perion
map_perion,map_perion_department_store
map_perion_department_store,map_perion
map_perion,map_perion_weapon_store
map_perion_weapon_store,map_perion
map_perion,map_warriors_sanctuary
map_perion,map_perion_street_corner
map_warriors_sanctuary,map_perion
map_perion,map_deep_valley_i
map_deep_valley_i,map_perion
map_deep_valley_i,map_dangerous_valley
map_dangerous_valley,map_deep_valley_i
map_dangerous_valley,map_dangerous_valley_ii
map_dangerous_valley_ii,map_dangerous_valley
map_deep_valley_i,map_deep_valley_ii
map_deep_valley_ii,map_deep_valley_i
map_deep_valley_ii,map_deep_valley_iii
map_deep_valley_iii,map_deep_valley_ii
map_deep_valley_iii,map_perion_dungeon_entrance
map_perion_dungeon_entrance,map_deep_valley_iii
map_perion_dungeon_entrance,map_deep_forest
map_deep_forest,map_perion_dungeon_entrance
map_west_street_corner_of_perion,map_west_rocky_mountain_i
map_west_street_corner_of_perion,map_land_of_wild_boar
map_land_of_wild_boar,map_west_street_corner_of_perion
map_west_street_corner_of_perion,map_perion
map_west_rocky_mountain_i,map_west_domain_of_perion
map_west_rocky_mountain_i,map_west_street_corner_of_perion
map_west_domain_of_perion,map_construction_site_north_of_kerning_city
map_west_domain_of_perion,map_west_rocky_mountain_i
map_construction_site_north_of_kerning_city,map_sunset_sky
map_construction_site_north_of_kerning_city,map_west_domain_of_perion
map_sunset_sky,map_kerning_city
map_sunset_sky,map_construction_site_north_of_kerning_city
map_kerning_city,map_kerning_city_contruction_site
map_kerning_city,map_naora_hospital
map_naora_hospital,map_kerning_city
map_kerning_city,map_kerning_city_self_defence_item_store
map_kerning_city_self_defence_item_store,map_kerning_city
map_kerning_city,map_kerning_city_pharmacy
map_kerning_city_pharmacy,map_kerning_city
map_kerning_city,map_line_1_area_1
map_kerning_city,map_the_swamp_of_despair_i
map_kerning_city,map_kerning_city_repair_shop
map_kerning_city_repair_shop,map_kerning_city
map_kerning_city,map_thieves_hideout
map_thieves_hideout,map_kerning_city
map_kerning_city,map_sunset_sky
map_line_1_area_1,map_kerning_city
map_line_1_area_1,map_transfer_area
map_transfer_area,map_line_1_area_1
map_transfer_area,map_line_1_area_2
map_line_1_area_2,map_transfer_area
map_line_1_area_2,map_line_1_area_3
map_line_1_area_3,map_line_1_area_2
map_line_1_area_3,map_line_1_area_4
map_line_1_area_4,map_line_1_area_3
map_kerning_city_contruction_site,map_kerning_city
map_kerning_city_contruction_site,map_l_forest_i
map_l_forest_i,map_kerning_city_contruction_site
map_l_forest_i,map_l_forest_ii
map_l_forest_ii,map_l_forest_i
map_l_forest_ii,map_l_forest_iii
map_l_forest_iii,map_l_forest_ii
map_l_forest_iii,map_kerning_city_middle_forest_i
map_the_swamp_of_despair_i,map_kerning_city
map_the_swamp_of_despair_i,map_the_swamp_of_despair_ii
map_the_swamp_of_despair_ii,map_the_swamp_of_despair_i
map_the_swamp_of_despair_ii,map_the_swamp_of_despair_iii
map_the_swamp_of_despair_iii,map_the_swamp_of_despair_ii
map_the_swamp_of_despair_iii,map_dangerous_croko_i
map_dangerous_croko_i,map_the_swamp_of_despair_iii
map_dangerous_croko_i,map_dangerous_croko_ii
map_dangerous_croko_ii,map_dangerous_croko_i
map_dangerous_croko_ii,map_damp_treeforest
map_damp_treeforest,map_dangerous_croko_ii
map_damp_treeforest,map_deep_forest
map_deep_forest,map_damp_treeforest
map_deep_forest,map_swampy_land_in_a_deep_forest
map_swampy_land_in_a_deep_forest,map_deep_forest
map_swampy_land_in_a_deep_forest,map_sleepywood
map_sleepywood,map_swampy_land_in_a_deep_forest
map_henesys,map_the_road_to_the_dungeon
map_the_road_to_the_dungeon,map_henesys
map_the_road_to_the_dungeon,map_henesys_dungeon_entrance
map_henesys_dungeon_entrance,map_the_road_to_the_dungeon
map_henesys_dungeon_entrance,map_swampy_land_in_a_deep_forest
map_swampy_land_in_a_deep_forest,map_henesys_dungeon_entrance
map_sleepywood,map_ant_tunnel_i
map_ant_tunnel_i,map_sleepywood
map_ant_tunnel_i,map_ant_tunnel_ii
map_ant_tunnel_ii,map_ant_tunnel_i
map_ant_tunnel_ii,map_ant_tunnel_iii
map_ant_tunnel_iii,map_ant_tunnel_ii
map_ant_tunnel_iii,map_ant_tunnel_iv
map_ant_tunnel_iv,map_ant_tunnel_iii
map_ant_tunnel_iv,map_dark_cave
map_dark_cave,map_ant_tunnel_iv
map_dark_cave,map_dangerous_steam
map_dangerous_steam,map_dark_cave
map_dangerous_steam,map_deep_ant_tunnel_i
map_deep_ant_tunnel_i,map_dangerous_steam
map_deep_ant_tunnel_i,map_deep_ant_tunnel_ii
map_deep_ant_tunnel_ii,map_deep_ant_tunnel_i
map_deep_ant_tunnel_ii,map_ant_tunnel_park
map_ant_tunnel_park,map_deep_ant_tunnel_ii
map_ant_tunnel_park,map_the_cave_of_evil_eye_i
map_the_cave_of_evil_eye_i,map_ant_tunnel_park
map_the_cave_of_evil_eye_i,map_the_cave_of_evil_eye_ii
map_the_cave_of_evil_eye_ii,map_the_cave_of_evil_eye_i
map_the_cave_of_evil_eye_ii,map_the_cave_of_evil_eye_iii
map_the_cave_of_evil_eye_iii,map_the_cave_of_evil_eye_ii
map_the_cave_of_evil_eye_iii,map_the_cave_of_evil_eye_iv
map_the_cave_of_evil_eye_iv,map_the_cave_of_evil_eye_iii
map_the_cave_of_evil_eye_iv,map_drake_hunting_ground
map_drake_hunting_ground,map_the_cave_of_evil_eye_iv
map_drake_hunting_ground,map_the_tunnel_that_lost_light_i
map_the_tunnel_that_lost_light_i,map_drake_hunting_ground
map_the_tunnel_that_lost_light_i,map_the_tunnel_that_lost_light_ii
map_the_tunnel_that_lost_light_ii,map_the_tunnel_that_lost_light_i
map_the_tunnel_that_lost_light_ii,map_another_entrance
map_another_entrance,map_the_tunnel_that_lost_light_ii
map_another_entrance,map_drakes_meal_table
map_drakes_meal_table,map_another_entrance
map_drakes_meal_table,map_wild_cargos_area
map_wild_cargos_area,map_drakes_meal_table
map_another_entrance,map_another_path
map_another_path,map_another_entrance
map_another_path,map_sanctuary_entrance_i
map_sanctuary_entrance_i,map_another_path
map_sanctuary_entrance_i,map_sanctuary_entrance_ii
map_sanctuary_entrance_ii,map_sanctuary_entrance_i
map_sanctuary_entrance_ii,map_sanctuary_entrance_iii
map_sanctuary_entrance_iii,map_sanctuary_entrance_ii
map_sanctuary_entrance_iii,map_sanctuary_entrance_iv
map_sanctuary_entrance_iv,map_sanctuary_entrance_iii
map_sanctuary_entrance_iv,map_the_cursed_sactuary
map_the_cursed_sactuary,map_sanctuary_entrance_iv
map_sleepywood,map_sleepy_dungeon_i
map_sleepy_dungeon_i,map_sleepywood
map_sleepy_dungeon_i,map_sleepy_dungeon_ii
map_sleepy_dungeon_ii,map_sleepy_dungeon_i
map_sleepy_dungeon_ii,map_sleepy_dungeon_iii
map_sleepy_dungeon_iii,map_sleepy_dungeon_ii
map_sleepy_dungeon_iii,map_sleepy_dungeon_iv
map_sleepy_dungeon_iv,map_sleepy_dungeon_iii
map_sleepy_dungeon_iv,map_sleepy_dungeon_v
map_sleepy_dungeon_v,map_sleepy_dungeon_iv
map_sleepy_dungeon_v,map_forgotten_dungeon_tunnel
map_forgotten_dungeon_tunnel,map_sleepy_dungeon_v
map_forgotten_dungeon_tunnel,map_the_end_of_fleeting_light
map_the_end_of_fleeting_light,map_forbidden_entrance
map_the_end_of_fleeting_light,map_forgotten_dungeon_tunnel
map_the_end_of_fleeting_light,map_forgotten_hollow
map_forgotten_hollow,map_the_end_of_fleeting_light
map_forgotten_hollow,map_cave_fairy_sanctuary
map_cave_fairy_sanctuary,map_forgotten_hollow
map_forgotten_hollow,map_cave_fairy_department_store
map_cave_fairy_department_store,map_forgotten_hollow
map_forgotten_hollow,map_primeval_forest_i
map_primeval_forest_i,map_forgotten_hollow
map_primeval_forest_i,map_primeval_forest_ii
map_primeval_forest_ii,map_primeval_forest_i
map_primeval_forest_ii,map_primeval_forest_iii
map_primeval_forest_iii,map_primeval_forest_ii
map_primeval_forest_iii,map_forgotten_entrance_i
map_forgotten_entrance_i,map_primeval_forest_iii
map_forgotten_entrance_i,map_forgotten_entrance_ii
map_forgotten_entrance_ii,map_forgotten_entrance_i
map_forgotten_entrance_ii,map_forgotten_entrance_iii
map_forgotten_entrance_iii,map_forgotten_entrance_ii
map_forgotten_entrance_iii,map_the_tree_tunnel_at_the_forest_up_north
map_the_tree_tunnel_at_the_forest_up_north,map_forgotten_entrance_iii
map_the_tree_tunnel_at_the_forest_up_north,map_the_forest_north_of_ellinia
map_the_forest_north_of_ellinia,map_the_tree_tunnel_at_the_forest_up_north
map_forbidden_entrance,map_the_end_of_fleeting_light
map_forbidden_entrance,map_perilous_descent_i
map_perilous_descent_i,map_forbidden_entrance
